Posted On,BHK,Rent,Size,Offered Floor,Total Floors,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Rent per Sq M,Avg Rent in Locality
2022-05-12,1,8000,500,2,2,Super Area,Lake Town,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,16.0,11750.0
2022-05-27,1,10000,435,3,3,Super Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,22.99,11230.77
2022-05-15,1,9000,600,3,4,Super Area,Behala,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,15.0,10900.0
2022-05-14,3,21000,1450,1,1,Super Area,Ajoy Nagar,Kolkata,Unfurnished,Family,2,Contact Owner,14.48,13750.0
2022-05-15,3,8000,750,1,2,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,Unfurnished,Family,1,Contact Owner,10.67,10333.33
2022-05-04,2,8000,1000,1,1,Super Area,"Purbasan, Thakurpukur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,8.0,8000.0
2022-05-30,1,5000,20,3,3,Super Area,Dakshineswar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,250.0,6750.0
2022-05-14,2,8000,800,1,2,Super Area,Behala Chowrasta,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,10.0,12333.33
2022-05-06,2,8000,490,1,2,Super Area,Entally,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,16.33,8000.0
2022-05-06,1,4500,450,2,2,Super Area,"Rabindra Pally, Keshtopur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,10.0,7566.67
2022-05-11,1,13000,1200,3,4,Super Area,Kasba,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,10.83,11230.77
2022-05-06,2,8000,700,1,1,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,11.43,10333.33
2022-05-21,2,8000,1000,1,2,Super Area,"Chinar Park, Rajarhat",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,8.0,8000.0
2022-05-10,2,7000,950,1,2,Super Area,Kaikhali,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,7.37,6933.33
2022-05-13,1,3500,250,2,2,Super Area,"Phool Bagan, Kankurgachi",Kolkata,Furnished,Bachelors/Family,1,Contact Owner,14.0,11750.0
2022-05-27,2,7000,650,1,2,Super Area,Howrah,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,10.77,8900.0
2022-05-25,1,6000,700,2,2,Super Area,"VIP Nagar, E M Bypass",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,8.57,6000.0
2022-05-06,1,3500,120,1,3,Super Area,Dum Dum Cantonment,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,29.17,4833.33
2022-05-10,2,12000,800,1,3,Super Area,Santoshpur,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,15.0,9987.5
2022-05-06,1,5000,190,1,2,Super Area,Baguihati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,26.32,6375.0
2022-05-24,2,9000,700,1,2,Super Area,Kabardanga,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,12.86,9000.0
2022-05-26,1,9000,950,2,2,Super Area,Haltu,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,9.47,9000.0
2022-05-13,1,50000,2200,3,5,Super Area,Kanchrapara,Kolkata,Furnished,Bachelors/Family,3,Contact Owner,22.73,28250.0
2022-05-11,2,8000,1000,1,2,Super Area,"Chinar Park, Rajarhat",Kolkata,Furnished,Bachelors/Family,1,Contact Owner,8.0,8000.0
2022-05-27,2,18000,600,1,3,Super Area,Bagha Jatin Pally,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,30.0,18000.0
2022-05-10,2,7000,685,3,3,Super Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,10.22,6071.43
2022-05-05,2,12000,1000,2,3,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,12.0,8083.33
2022-05-09,2,6000,700,2,2,Super Area,Barasat-Barrackpore Road,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,8.57,6000.0
2022-05-19,1,5200,750,3,4,Super Area,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,6.93,6600.0
2022-05-19,1,3000,160,1,1,Super Area,"Kudghat, Ashok Nagar",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,18.75,8500.0
2022-05-06,4,35000,1600,1,3,Super Area,Salt Lake City,Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner,21.88,26640.62
2022-05-06,1,5500,1800,1,2,Super Area,Baranagar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,3.06,6366.67
2022-05-10,2,8500,800,2,2,Super Area,Baguihati,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,10.62,6375.0
2022-05-23,1,7500,550,2,2,Super Area,"Naktala, Garia",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent,13.64,7750.0
2022-05-06,2,7000,600,2,3,Super Area,"Park Circus, Ballygunge",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,11.67,11000.0
2022-05-31,3,10000,1200,3,4,Super Area,Belghoria,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,8.33,8875.0
2022-05-31,2,6000,750,1,1,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,8.0,10900.0
2022-05-31,3,12000,1000,2,3,Super Area,Dariya,Kolkata,Semi-Furnished,Bachelors/Family,3,Contact Owner,12.0,12000.0
2022-05-14,1,15000,505,1,3,Super Area,Kasba,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,29.7,11230.77
2022-05-22,3,30000,1250,1,2,Super Area,New Alipore,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,24.0,30000.0
2022-05-24,1,1500,200,1,2,Super Area,Santoshpur,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,7.5,9987.5
2022-05-28,2,15000,1500,1,2,Super Area,Garia,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,10.0,11000.0
2022-05-15,2,6500,600,3,3,Super Area,Thakurpukur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,10.83,6500.0
2022-05-14,3,10000,800,1,4,Super Area,Brahmapur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,12.5,10000.0
2022-05-09,2,12000,1000,2,3,Super Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,12.0,10900.0
2022-05-05,1,3000,500,1,1,Super Area,Hatiara,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,6.0,3000.0
2022-05-09,3,15000,1250,1,3,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,12.0,10333.33
2022-05-31,3,8000,812,1,3,Super Area,Hooghly,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,9.85,8000.0
2022-05-05,2,5000,600,1,2,Super Area,"Anandapuri, Barrackpore",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,8.33,8000.0
2022-05-30,1,8000,600,2,2,Super Area,Garia,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,13.33,11000.0
2022-05-04,3,20000,1750,1,3,Super Area,Kalindi,Kolkata,Semi-Furnished,Bachelors/Family,3,Contact Owner,11.43,20000.0
2022-05-04,3,30000,1600,3,4,Super Area,Ballygunge,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,18.75,30250.0
2022-05-20,2,6000,960,1,2,Super Area,Dum Dum,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,6.25,8062.5
2022-05-21,1,7000,550,1,2,Super Area,Kasba,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,12.73,11230.77
2022-05-21,2,7000,500,1,1,Super Area,Dum Dum Metro,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,14.0,6071.43
2022-05-14,3,15000,1300,1,3,Super Area,Lake Town,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,11.54,11750.0
2022-05-09,2,6000,450,2,3,Super Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,13.33,6071.43
2022-05-24,2,6000,600,1,4,Super Area,Belgharia,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,10.0,6000.0
2022-05-26,3,8000,1200,2,4,Super Area,"Ramkrishna Pally, Kaikhali",Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner,6.67,8000.0
2022-05-31,2,4500,475,1,2,Super Area,Birati,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,9.47,6900.0
2022-05-18,1,12000,500,1,2,Super Area,"Madurdaha, Hussainpur",Kolkata,Furnished,Bachelors/Family,1,Contact Agent,24.0,12000.0
2022-05-31,2,12000,800,2,2,Super Area,Dum Dum,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,15.0,8062.5
2022-05-22,2,9000,1000,3,3,Super Area,Airport Area Behala,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,9.0,9000.0
2022-05-25,1,5000,450,2,3,Super Area,"Ananda Pally, Jadavpur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,11.11,5000.0
2022-05-09,1,5500,800,3,3,Super Area,Barrackpore,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,6.88,9000.0
2022-05-14,1,7000,500,1,2,Super Area,Ranikuthi Telephone Exchange,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent,14.0,7000.0
2022-05-13,2,6500,550,1,1,Super Area,Kaikhali,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,11.82,6933.33
2022-05-14,2,10000,1050,1,1,Super Area,Baidyabati,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,9.52,10000.0
2022-05-17,2,5146,800,1,2,Super Area,Sodepur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,6.43,6641.0
2022-05-15,2,8500,700,1,2,Super Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,12.14,10900.0
2022-05-22,3,15000,1200,2,2,Super Area,Tollygunge,Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner,12.5,12625.0
2022-05-12,2,12500,1250,2,2,Super Area,Rajarhat,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,10.0,9750.0
2022-05-30,3,34000,120,3,5,Super Area,CA 150 sector 1 saltlake,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,283.33,34000.0
2022-05-10,2,7000,750,2,3,Super Area,Baughati,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,9.33,7000.0
2022-05-10,2,6500,700,1,2,Super Area,Dum Dum,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,9.29,8062.5
2022-05-12,1,1800,500,1,1,Super Area,Shyam Bazar,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,3.6,7550.0
2022-05-08,1,5000,300,2,3,Super Area,"Noapara, Addarsha Pally",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,16.67,5000.0
2022-05-20,3,25000,1000,3,4,Super Area,Rash Behari Avenue Connector,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,25.0,25000.0
2022-05-12,1,5000,450,1,1,Super Area,"Siriti, Tollygunge",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,11.11,5000.0
2022-05-17,3,7000,900,2,2,Super Area,"Michael Nagar, New Barrakpur",Kolkata,Semi-Furnished,Bachelors/Family,3,Contact Owner,7.78,7000.0
2022-05-11,2,12000,720,1,1,Super Area,Shyam Bazar,Kolkata,Unfurnished,Bachelors,2,Contact Owner,16.67,7550.0
2022-07-04,2,10000,800,2,2,Super Area,Dumdum Park,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,12.5,16000.0
2022-07-02,2,12000,650,1,1,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Family,2,Contact Owner,18.46,7500.0
2022-07-02,2,7000,650,1,3,Super Area,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,10.77,7250.0
2022-07-06,2,25000,1100,2,3,Super Area,"Action Area 1, Rajarhat Newtown",Kolkata,Furnished,Bachelors,2,Contact Agent,22.73,25000.0
2022-07-02,1,20000,700,2,2,Super Area,Sankaritola,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,28.57,20000.0
2022-07-06,3,12000,800,1,1,Super Area,"Parnashree Lake, Behala",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,15.0,12000.0
2022-07-01,1,4700,250,2,2,Super Area,Kaikhali,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,18.8,6933.33
2022-07-04,3,20000,1100,1,2,Super Area,"Thakurpukur, Kolkata",Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner,18.18,20000.0
2022-07-04,2,9500,700,2,2,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,13.57,8083.33
2022-07-03,1,24000,710,1,2,Super Area,Salt Lake City Sector 1,Kolkata,Furnished,Bachelors,1,Contact Agent,33.8,22857.14
2022-07-01,1,4500,230,1,3,Super Area,Birati,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,19.57,6900.0
2022-07-01,3,10000,1250,2,2,Super Area,Jaffarpore Rifle Range Road,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,8.0,10000.0
2022-07-03,2,7000,850,1,3,Super Area,Baranagar,Kolkata,Unfurnished,Bachelors,1,Contact Owner,8.24,6366.67
2022-07-04,2,22000,1200,2,2,Super Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent,18.33,22857.14
2022-07-04,3,35000,1200,1,3,Super Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,3,Contact Agent,29.17,22857.14
2022-07-02,3,12000,1100,1,2,Super Area,Jagacha,Kolkata,Semi-Furnished,Family,2,Contact Owner,10.91,12000.0
2022-07-06,2,7000,600,1,2,Super Area,Keshtopur,Kolkata,Unfurnished,Bachelors,1,Contact Agent,11.67,6600.0
2022-07-03,2,11000,600,1,2,Super Area,Beliaghata,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,18.33,25500.0
2022-05-09,2,7500,850,2,2,Carpet Area,South Dum Dum,Kolkata,Unfurnished,Bachelors,1,Contact Owner,8.82,7500.0
2022-05-23,3,25000,1200,2,4,Carpet Area,"Action Area 1, Rajarhat Newtown",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent,20.83,25000.0
2022-05-14,1,6500,250,2,4,Carpet Area,"Tarulia, Keshtopur",Kolkata,Furnished,Bachelors,1,Contact Owner,26.0,6500.0
2022-05-09,1,5500,375,2,2,Carpet Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,14.67,6071.43
2022-05-05,3,8500,900,1,2,Carpet Area,Paschim Barisha,Kolkata,Unfurnished,Bachelors,2,Contact Owner,9.44,8500.0
2022-05-21,1,7500,350,1,2,Carpet Area,Baghajatin,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,21.43,9111.11
2022-05-10,3,22000,1100,3,3,Carpet Area,Dumdum Park,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,20.0,16000.0
2022-05-12,2,15000,850,2,2,Carpet Area,Sreebhumi,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,17.65,11500.0
2022-05-31,2,7000,630,1,3,Carpet Area,Birati,Kolkata,Unfurnished,Bachelors,1,Contact Owner,11.11,6900.0
2022-05-12,3,12000,1500,1,2,Carpet Area,Bhadrakali,Kolkata,Furnished,Bachelors,2,Contact Owner,8.0,12000.0
2022-05-20,2,4600,694,3,4,Carpet Area,Behala,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner,6.63,10900.0
2022-05-27,1,7000,600,1,2,Carpet Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,11.67,10900.0
2022-05-18,2,6500,800,1,2,Carpet Area,"Chak Thakurani, Thakurpukur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,8.12,6500.0
2022-05-23,1,8200,500,2,3,Carpet Area,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,16.4,7566.67
2022-05-23,2,15000,480,1,3,Carpet Area,shukhobrishti,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,31.25,15000.0
2022-05-07,2,7000,700,1,2,Carpet Area,Dum Dum Metro,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent,10.0,6071.43
2022-05-31,2,8500,550,3,3,Carpet Area,Kasba -East,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent,15.45,8500.0
2022-05-23,1,5000,300,2,2,Carpet Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,16.67,6071.43
2022-05-21,1,8000,300,2,3,Carpet Area,"Naktala, Garia",Kolkata,Semi-Furnished,Bachelors,1,Contact Agent,26.67,7750.0
2022-05-15,2,14000,1000,2,3,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,14.0,11230.77
2022-05-10,2,10000,740,1,6,Carpet Area,Sonarpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner,13.51,10375.0
2022-05-26,3,15000,1500,1,2,Carpet Area,"Chandannagar, Hooghly-Chinsurah",Kolkata,Semi-Furnished,Family,2,Contact Owner,10.0,10500.0
2022-05-10,2,8000,700,4,5,Carpet Area,Garia Dhalua Nabapally,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,11.43,8000.0
2022-05-10,2,5000,1000,1,2,Carpet Area,Hindmotor,Kolkata,Unfurnished,Bachelors,1,Contact Owner,5.0,5000.0
2022-05-15,2,7000,700,1,3,Carpet Area,Baguiati,Kolkata,Unfurnished,Bachelors,1,Contact Owner,10.0,9166.67
2022-05-13,2,14500,900,2,4,Carpet Area,"Panchanan Tola, Thakurpukur",Kolkata,Unfurnished,Bachelors,2,Contact Owner,16.11,14500.0
2022-05-19,2,18000,850,3,4,Carpet Area,Behala Chowrasta,Kolkata,Semi-Furnished,Family,1,Contact Owner,21.18,12333.33
2022-05-30,3,10500,800,2,3,Carpet Area,"Teghoria, Baguiati",Kolkata,Unfurnished,Bachelors,2,Contact Owner,13.12,9250.0
2022-05-24,1,6500,44,1,1,Carpet Area,Baranagar,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,147.73,6366.67
2022-05-05,2,9000,500,1,2,Carpet Area,Airport Near Gate No. 21/2,Kolkata,Unfurnished,Bachelors,1,Contact Owner,18.0,9000.0
2022-05-26,1,5500,400,1,3,Carpet Area,jadavpur central park east,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,13.75,5500.0
2022-05-14,1,5000,500,1,3,Carpet Area,Bata Nagar,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,10.0,5000.0
2022-05-20,2,5000,450,2,3,Carpet Area,Birati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,11.11,6900.0
2022-05-14,1,5000,500,1,2,Carpet Area,Bata Nagar,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,10.0,5000.0
2022-05-27,2,12500,680,1,2,Carpet Area,Barrackpore,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,18.38,9000.0
2022-05-27,1,5000,500,1,1,Carpet Area,BRAHMAPUR NEAR BANSDRONI,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,10.0,5000.0
2022-05-22,2,8500,620,1,1,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors,1,Contact Owner,13.71,11230.77
2022-05-27,3,40000,1400,1,2,Carpet Area,Salt Lake City Sector 2,Kolkata,Furnished,Bachelors/Family,2,Contact Agent,28.57,23187.5
2022-05-05,1,5500,500,1,2,Carpet Area,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,11.0,7214.29
2022-05-07,2,7000,450,1,3,Carpet Area,Mandirtala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,15.56,7000.0
2022-05-17,2,14000,900,1,2,Carpet Area,Salt Lake City,Kolkata,Unfurnished,Bachelors,2,Contact Agent,15.56,26640.62
2022-05-09,2,10500,800,2,2,Carpet Area,Santoshpur,Kolkata,Unfurnished,Family,2,Contact Owner,13.12,9987.5
2022-05-12,3,35000,1012,3,3,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,34.58,22857.14
2022-05-20,3,20000,1200,1,1,Carpet Area,"Haridevpur, Paschim Putiary",Kolkata,Semi-Furnished,Bachelors,2,Contact Owner,16.67,13500.0
2022-05-03,1,9000,550,1,2,Carpet Area,"Bangur Avenue, Lake Town",Kolkata,Semi-Furnished,Bachelors,1,Contact Owner,16.36,9000.0
2022-05-19,2,10000,300,1,1,Carpet Area,Keshtopur,Kolkata,Unfurnished,Bachelors,1,Contact Owner,33.33,6600.0
2022-05-23,2,14000,800,1,3,Carpet Area,Santoshpur - EM Bypass,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,17.5,14000.0
2022-05-26,2,7000,650,1,2,Carpet Area,Baruipur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,10.77,6375.0
2022-05-20,2,7000,600,1,2,Carpet Area,2 BHK,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,11.67,7000.0
2022-05-30,2,5500,650,1,2,Carpet Area,Joka,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,8.46,6166.67
2022-05-24,2,7000,500,2,3,Carpet Area,Garia,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,14.0,11000.0
2022-05-12,2,12000,756,1,3,Carpet Area,Dashadron Newtown Rajarhat,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,15.87,12000.0
2022-05-05,1,5000,150,2,2,Carpet Area,Anandapur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,33.33,12500.0
2022-05-14,1,8000,800,1,2,Carpet Area,New town near ecopark .,Kolkata,Unfurnished,Bachelors,1,Contact Owner,10.0,8000.0
2022-05-22,2,6200,800,1,2,Carpet Area,Kestopur,Kolkata,Unfurnished,Bachelors,1,Contact Owner,7.75,6200.0
2022-05-26,2,9900,800,2,4,Carpet Area,Bijoygarh,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,12.38,9900.0
2022-05-10,1,5000,322,2,3,Carpet Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,15.53,6071.43
2022-05-18,1,6500,850,2,3,Carpet Area,Baksara,Kolkata,Unfurnished,Bachelors,1,Contact Owner,7.65,5000.0
2022-05-09,1,5000,350,1,5,Carpet Area,Agarpara,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,14.29,9125.0
2022-05-31,2,6000,320,2,2,Carpet Area,"Baishnabghata Patuli, Patuli",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,18.75,6000.0
2022-05-23,2,8500,750,2,2,Carpet Area,Ramchandrapur north,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,11.33,8500.0
2022-05-13,2,9000,700,3,4,Carpet Area,Baguiati,Kolkata,Unfurnished,Bachelors,1,Contact Owner,12.86,9166.67
2022-05-13,1,5000,300,1,1,Carpet Area,Barrackpore,Kolkata,Unfurnished,Bachelors,1,Contact Agent,16.67,9000.0
2022-05-10,2,6500,800,1,2,Carpet Area,locality,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,8.12,7000.0
2022-05-22,2,5000,550,2,3,Carpet Area,Birati,Kolkata,Unfurnished,Bachelors,1,Contact Owner,9.09,6900.0
2022-05-08,2,8500,1100,1,1,Carpet Area,Nayabad,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,7.73,8500.0
2022-05-26,1,5000,400,4,5,Carpet Area,Hooghly-Chinsurah,Kolkata,Unfurnished,Bachelors,1,Contact Owner,12.5,6000.0
2022-05-30,2,8000,600,2,2,Carpet Area,700051,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,13.33,8000.0
2022-05-10,2,6000,500,2,2,Carpet Area,Purba Sinthi Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,12.0,6000.0
2022-05-28,3,14000,950,2,2,Carpet Area,Kaikhali,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,14.74,6933.33
2022-05-11,2,10000,750,4,5,Carpet Area,"Kumarpara, Narendrapur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,13.33,8500.0
2022-05-17,3,10000,800,1,2,Carpet Area,"Arobindo Pally, Paschim Putiary",Kolkata,Unfurnished,Bachelors,1,Contact Owner,12.5,10000.0
2022-05-08,2,20000,700,1,1,Carpet Area,Salt Lake City Sector 2,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner,28.57,23187.5
2022-05-10,2,14000,700,1,3,Carpet Area,Santoshpur,Kolkata,Unfurnished,Bachelors,2,Contact Owner,20.0,9987.5
